timestamp,region,service_type,usage_units,predicted_usage,provisioned_capacity,cost_usd,availability_pct,forecast_generated_at
2021-01-01 09:00:00,UK-South, Compute     ,476.23,272.5602216269838,189.07,218.11,96.2,2026-04-01T18:44:09.829995
2021-01-01 09:00:00,UK-South, Storage     ,290.12,277.4741944088204,559.64,266.79,95.62,2026-04-01T18:44:09.829995
2021-01-01 11:00:00,East-Asia, Storage     ,487.62,267.72648560311245,100.21,278.03,98.72,2026-04-01T18:44:09.829995
2021-01-01 13:00:00,Central-India, Storage     ,265.77,282.8956219211739,590.27,273.18,98.61,2026-04-01T18:44:09.829995
2021-01-01 16:00:00,East-Asia, Storage     ,407.95,268.8670845869278,473.53,37.22,99.07,2026-04-01T18:44:09.829995
2021-01-02 00:00:00,West-US, Compute     ,82.84,275.76248044348523,323.17,276.37,95.17,2026-04-01T18:44:09.829995
2021-01-02 01:00:00,East-US, Compute     ,424.95,278.74879567685696,228.11,299.18,97.24,2026-04-01T18:44:09.829995
2021-01-02 16:00:00,UK-South, Storage     ,275.39,267.4625851665399,196.26,20.54,97.64,2026-04-01T18:44:09.829995
2021-01-03 07:00:00,UK-South, Storage     ,257.8,281.9470129430281,567.84,40.7,98.98,2026-04-01T18:44:09.829995
2021-01-03 12:00:00,East-Asia, Compute     ,206.63,270.58680921954425,526.47,149.99,97.39,2026-04-01T18:44:09.829995
2021-01-04 05:00:00,UK-South, Storage     ,490.6,274.0340364084752,365.25,233.35,96.27,2026-04-01T18:44:09.829995
2021-01-04 10:00:00,UK-South, Compute     ,70.52,279.7427497969526,195.9,176.88,96.83,2026-04-01T18:44:09.829995
2021-01-04 17:00:00,West-US, Storage     ,456.88,267.60819476167666,330.37,33.91,95.97,2026-04-01T18:44:09.829995
2021-01-05 01:00:00,East-US, Storage     ,161.83,280.75881502309613,231.87,52.33,98.7,2026-04-01T18:44:09.829995
2021-01-05 09:00:00,East-US, Compute     ,468.11,272.2754040552049,496.66,213.45,95.12,2026-04-01T18:44:09.829995
2021-01-05 16:00:00,Central-India, Compute     ,496.86,272.5859638403339,351.53,90.14,97.59,2026-04-01T18:44:09.829995
2021-01-05 21:00:00,West-US, Compute     ,151.17,280.3351238506275,326.97,153.38,98.46,2026-04-01T18:44:09.829995
2021-01-06 05:00:00,East-US, Storage     ,111.26,268.10032182323175,581.42,278.86,95.98,2026-04-01T18:44:09.829995
2021-01-06 06:00:00,UK-South, Storage     ,64.68,279.42644647348794,202.03,204.75,96.28,2026-04-01T18:44:09.829995
2021-01-06 18:00:00,West-US, Compute     ,228.62,273.84995886387844,552.55,50.82,97.97,2026-04-01T18:44:09.829995
2021-01-06 21:00:00,West-US, Storage     ,466.06,271.4533317320661,108.81,89.46,99.77,2026-04-01T18:44:09.829995
2021-01-07 01:00:00,Central-India, Compute     ,210.31,280.55232216741365,394.88,44.08,97.97,2026-04-01T18:44:09.829995
2021-01-07 01:00:00,West-US, Compute     ,174.52,268.86429319281893,487.13,179.05,95.83,2026-04-01T18:44:09.829995
2021-01-07 04:00:00,East-US, Storage     ,147.19,278.0392955035398,317.98,224.34,99.77,2026-04-01T18:44:09.829995
2021-01-07 08:00:00,Central-India, Storage     ,239.86,275.24523671971696,242.88,187.69,99.06,2026-04-01T18:44:09.829995
2021-01-07 09:00:00,UK-South, Compute     ,351.93,270.6499133077887,539.47,68.4,96.1,2026-04-01T18:44:09.829995
2021-01-07 11:00:00,West-US, Compute     ,304.5,280.43640250506616,505.29,46.91,95.04,2026-04-01T18:44:09.829995
2021-01-07 15:00:00,Central-India, Storage     ,73.36,269.82198281943465,294.63,146.47,98.17,2026-04-01T18:44:09.829995
2021-01-07 17:00:00,UK-South, Compute     ,207.12,276.6768866592142,560.23,51.56,96.93,2026-04-01T18:44:09.829995
2021-01-07 17:00:00,West-US, Compute     ,148.13,276.414539319612,179.35,220.33,97.72,2026-04-01T18:44:09.829995
2021-01-07 18:00:00,UK-South, Storage     ,256.29,270.17049855538994,209.45,65.45,97.54,2026-04-01T18:44:09.829995
2021-01-07 19:00:00,East-US, Compute     ,301.89,280.04067737035973,371.33,128.03,98.82,2026-04-01T18:44:09.829995
